YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2017	1	AK	Total Electric Power Industry	Total	566684
2017	1	AK	Total Electric Power Industry	Coal	52279
2017	1	AK	Total Electric Power Industry	Hydroelectric Conventional	166615
2017	1	AK	Total Electric Power Industry	Natural Gas	222037
2017	1	AK	Total Electric Power Industry	Other	-320
2017	1	AK	Total Electric Power Industry	Petroleum	110442
2017	1	AK	Total Electric Power Industry	Other Biomass	3057
2017	1	AK	Total Electric Power Industry	Wind	12575
2017	1	AK	Total Electric Power Industry	Wood and Wood Derived Fuels	0
2017	1	AK	Combined Heat and Power, Industrial Power	Total	10756
2017	1	AK	Combined Heat and Power, Industrial Power	Natural Gas	6265
2017	1	AK	Combined Heat and Power, Industrial Power	Petroleum	4491
2017	1	AK	Combined Heat and Power, Industrial Power	Other Biomass	0
2017	1	AK	Combined Heat and Power, Commercial Power	Total	33374
2017	1	AK	Combined Heat and Power, Commercial Power	Coal	10493
2017	1	AK	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	18102
2017	1	AK	Combined Heat and Power, Commercial Power	Natural Gas	466
2017	1	AK	Combined Heat and Power, Commercial Power	Petroleum	1256
2017	1	AK	Combined Heat and Power, Commercial Power	Other Biomass	3057
2017	1	AK	Combined Heat and Power, Commercial Power	Wood and Wood Derived Fuels	0
2017	1	AK	Combined Heat and Power, Electric Power	Total	16546
2017	1	AK	Combined Heat and Power, Electric Power	Coal	16546
2017	1	AK	Combined Heat and Power, Electric Power	Petroleum	0
2017	1	AK	Combined Heat and Power, Electric Power	Other Biomass	0
2017	1	AK	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	0
2017	1	AK	Electric Generators, Independent Power Producers	Total	4616
2017	1	AK	Electric Generators, Independent Power Producers	Wind	4616
2017	1	AK	Electric Generators, Electric Utilities	Total	501392
2017	1	AK	Electric Generators, Electric Utilities	Coal	25240
2017	1	AK	Electric Generators, Electric Utilities	Hydroelectric Conventional	148513
2017	1	AK	Electric Generators, Electric Utilities	Natural Gas	215306
2017	1	AK	Electric Generators, Electric Utilities	Other	-320
2017	1	AK	Electric Generators, Electric Utilities	Petroleum	104694
2017	1	AK	Electric Generators, Electric Utilities	Wind	7959
2017	1	AL	Total Electric Power Industry	Total	10940022
2017	1	AL	Total Electric Power Industry	Coal	2528519
2017	1	AL	Total Electric Power Industry	Hydroelectric Conventional	923584
2017	1	AL	Total Electric Power Industry	Natural Gas	3508602
2017	1	AL	Total Electric Power Industry	Nuclear	3679445
2017	1	AL	Total Electric Power Industry	Other Gases	1675
2017	1	AL	Total Electric Power Industry	Other	0
2017	1	AL	Total Electric Power Industry	Petroleum	6296
2017	1	AL	Total Electric Power Industry	Solar Thermal and Photovoltaic	7847
2017	1	AL	Total Electric Power Industry	Other Biomass	3442
2017	1	AL	Total Electric Power Industry	Wood and Wood Derived Fuels	280611
2017	1	AL	Combined Heat and Power, Industrial Power	Total	364568
2017	1	AL	Combined Heat and Power, Industrial Power	Coal	3147
2017	1	AL	Combined Heat and Power, Industrial Power	Natural Gas	97808
2017	1	AL	Combined Heat and Power, Industrial Power	Other Gases	1675
2017	1	AL	Combined Heat and Power, Industrial Power	Other	0
2017	1	AL	Combined Heat and Power, Industrial Power	Petroleum	1121
2017	1	AL	Combined Heat and Power, Industrial Power	Other Biomass	0
2017	1	AL	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	260817
2017	1	AL	Combined Heat and Power, Electric Power	Total	314780
2017	1	AL	Combined Heat and Power, Electric Power	Coal	0
2017	1	AL	Combined Heat and Power, Electric Power	Natural Gas	294986
2017	1	AL	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	19794
2017	1	AL	Electric Generators, Independent Power Producers	Total	1806350
2017	1	AL	Electric Generators, Independent Power Producers	Natural Gas	1793344
2017	1	AL	Electric Generators, Independent Power Producers	Petroleum	1716
2017	1	AL	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	7847
2017	1	AL	Electric Generators, Independent Power Producers	Other Biomass	3442
2017	1	AL	Electric Generators, Electric Utilities	Total	8454325
2017	1	AL	Electric Generators, Electric Utilities	Coal	2525372
2017	1	AL	Electric Generators, Electric Utilities	Hydroelectric Conventional	923584
2017	1	AL	Electric Generators, Electric Utilities	Natural Gas	1322464
2017	1	AL	Electric Generators, Electric Utilities	Nuclear	3679445
2017	1	AL	Electric Generators, Electric Utilities	Petroleum	3459
2017	1	AR	Total Electric Power Industry	Total	5413456
2017	1	AR	Total Electric Power Industry	Coal	3078044
2017	1	AR	Total Electric Power Industry	Pumped Storage	1062
2017	1	AR	Total Electric Power Industry	Hydroelectric Conventional	368286
2017	1	AR	Total Electric Power Industry	Natural Gas	550766
