YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2017	1	AR	Total Electric Power Industry	Nuclear	1279925
2017	1	AR	Total Electric Power Industry	Other	459
2017	1	AR	Total Electric Power Industry	Petroleum	4681
2017	1	AR	Total Electric Power Industry	Solar Thermal and Photovoltaic	1425
2017	1	AR	Total Electric Power Industry	Other Biomass	10646
2017	1	AR	Total Electric Power Industry	Wood and Wood Derived Fuels	118161
2017	1	AR	Combined Heat and Power, Industrial Power	Total	155550
2017	1	AR	Combined Heat and Power, Industrial Power	Coal	5196
2017	1	AR	Combined Heat and Power, Industrial Power	Natural Gas	31604
2017	1	AR	Combined Heat and Power, Industrial Power	Other	459
2017	1	AR	Combined Heat and Power, Industrial Power	Petroleum	129
2017	1	AR	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	118161
2017	1	AR	Combined Heat and Power, Commercial Power	Total	553
2017	1	AR	Combined Heat and Power, Commercial Power	Natural Gas	7
2017	1	AR	Combined Heat and Power, Commercial Power	Other Biomass	545
2017	1	AR	Combined Heat and Power, Electric Power	Total	100477
2017	1	AR	Combined Heat and Power, Electric Power	Natural Gas	96151
2017	1	AR	Combined Heat and Power, Electric Power	Petroleum	0
2017	1	AR	Combined Heat and Power, Electric Power	Other Biomass	4326
2017	1	AR	Electric Generators, Independent Power Producers	Total	478257
2017	1	AR	Electric Generators, Independent Power Producers	Coal	265591
2017	1	AR	Electric Generators, Independent Power Producers	Hydroelectric Conventional	3099
2017	1	AR	Electric Generators, Independent Power Producers	Natural Gas	199273
2017	1	AR	Electric Generators, Independent Power Producers	Petroleum	3201
2017	1	AR	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	1320
2017	1	AR	Electric Generators, Independent Power Producers	Other Biomass	5774
2017	1	AR	Electric Generators, Electric Utilities	Total	4678620
2017	1	AR	Electric Generators, Electric Utilities	Coal	2807258
2017	1	AR	Electric Generators, Electric Utilities	Pumped Storage	1062
2017	1	AR	Electric Generators, Electric Utilities	Hydroelectric Conventional	365188
2017	1	AR	Electric Generators, Electric Utilities	Natural Gas	223731
2017	1	AR	Electric Generators, Electric Utilities	Nuclear	1279925
2017	1	AR	Electric Generators, Electric Utilities	Petroleum	1352
2017	1	AR	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	105
2017	1	AZ	Total Electric Power Industry	Total	7978430
2017	1	AZ	Total Electric Power Industry	Coal	2878713
2017	1	AZ	Total Electric Power Industry	Pumped Storage	-18915
2017	1	AZ	Total Electric Power Industry	Hydroelectric Conventional	622478
2017	1	AZ	Total Electric Power Industry	Natural Gas	1222888
2017	1	AZ	Total Electric Power Industry	Nuclear	2980017
2017	1	AZ	Total Electric Power Industry	Other	-42
2017	1	AZ	Total Electric Power Industry	Petroleum	6848
2017	1	AZ	Total Electric Power Industry	Solar Thermal and Photovoltaic	210462
2017	1	AZ	Total Electric Power Industry	Other Biomass	3372
2017	1	AZ	Total Electric Power Industry	Wind	57154
2017	1	AZ	Total Electric Power Industry	Wood and Wood Derived Fuels	15454
2017	1	AZ	Combined Heat and Power, Commercial Power	Total	11675
2017	1	AZ	Combined Heat and Power, Commercial Power	Natural Gas	10742
2017	1	AZ	Combined Heat and Power, Commercial Power	Petroleum	2
2017	1	AZ	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	931
2017	1	AZ	Combined Heat and Power, Electric Power	Total	0
2017	1	AZ	Combined Heat and Power, Electric Power	Natural Gas	0
2017	1	AZ	Combined Heat and Power, Electric Power	Petroleum	0
2017	1	AZ	Electric Generators, Independent Power Producers	Total	528467
2017	1	AZ	Electric Generators, Independent Power Producers	Natural Gas	263689
2017	1	AZ	Electric Generators, Independent Power Producers	Other	-42
2017	1	AZ	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	188840
2017	1	AZ	Electric Generators, Independent Power Producers	Other Biomass	3372
2017	1	AZ	Electric Generators, Independent Power Producers	Wind	57154
2017	1	AZ	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	15454
2017	1	AZ	Electric Generators, Electric Utilities	Total	7438287
2017	1	AZ	Electric Generators, Electric Utilities	Coal	2878713
2017	1	AZ	Electric Generators, Electric Utilities	Pumped Storage	-18915
2017	1	AZ	Electric Generators, Electric Utilities	Hydroelectric Conventional	622478
2017	1	AZ	Electric Generators, Electric Utilities	Natural Gas	948457
2017	1	AZ	Electric Generators, Electric Utilities	Nuclear	2980017
2017	1	AZ	Electric Generators, Electric Utilities	Other	0
2017	1	AZ	Electric Generators, Electric Utilities	Petroleum	6847
2017	1	AZ	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	20691
2017	1	AZ	Electric Generators, Electric Utilities	Other Biomass	0
2017	1	CA	Total Electric Power Industry	Total	17444705
2017	1	CA	Total Electric Power Industry	Coal	26516
2017	1	CA	Total Electric Power Industry	Geothermal	1024961
2017	1	CA	Total Electric Power Industry	Pumped Storage	192666
2017	1	CA	Total Electric Power Industry	Hydroelectric Conventional	3863131
2017	1	CA	Total Electric Power Industry	Natural Gas	7807022
2017	1	CA	Total Electric Power Industry	Nuclear	1645132
2017	1	CA	Total Electric Power Industry	Other Gases	77314
2017	1	CA	Total Electric Power Industry	Other	67639
2017	1	CA	Total Electric Power Industry	Petroleum	3912
2017	1	CA	Total Electric Power Industry	Solar Thermal and Photovoltaic	960826
2017	1	CA	Total Electric Power Industry	Other Biomass	227958
2017	1	CA	Total Electric Power Industry	Wind	1283551
2017	1	CA	Total Electric Power Industry	Wood and Wood Derived Fuels	264076
2017	1	CA	Combined Heat and Power, Industrial Power	Total	1119967
2017	1	CA	Combined Heat and Power, Industrial Power	Coal	26516
2017	1	CA	Combined Heat and Power, Industrial Power	Natural Gas	911233
2017	1	CA	Combined Heat and Power, Industrial Power	Other Gases	77314
2017	1	CA	Combined Heat and Power, Industrial Power	Other	54400
2017	1	CA	Combined Heat and Power, Industrial Power	Petroleum	816
2017	1	CA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	506
2017	1	CA	Combined Heat and Power, Industrial Power	Other Biomass	325
2017	1	CA	Combined Heat and Power, Industrial Power	Wind	244
2017	1	CA	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	48612
2017	1	CA	Combined Heat and Power, Commercial Power	Total	247083
2017	1	CA	Combined Heat and Power, Commercial Power	Pumped Storage	0
2017	1	CA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	1703
2017	1	CA	Combined Heat and Power, Commercial Power	Natural Gas	167659
2017	1	CA	Combined Heat and Power, Commercial Power	Other	-12
2017	1	CA	Combined Heat and Power, Commercial Power	Petroleum	127
2017	1	CA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	4951
2017	1	CA	Combined Heat and Power, Commercial Power	Other Biomass	71972
2017	1	CA	Combined Heat and Power, Commercial Power	Wind	684
2017	1	CA	Combined Heat and Power, Electric Power	Total	1407700
2017	1	CA	Combined Heat and Power, Electric Power	Coal	0
2017	1	CA	Combined Heat and Power, Electric Power	Natural Gas	1313234
2017	1	CA	Combined Heat and Power, Electric Power	Other	8101
2017	1	CA	Combined Heat and Power, Electric Power	Petroleum	0
2017	1	CA	Combined Heat and Power, Electric Power	Solar Thermal and Photovoltaic	249
2017	1	CA	Combined Heat and Power, Electric Power	Other Biomass	16414
2017	1	CA	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	69701
2017	1	CA	Electric Generators, Independent Power Producers	Total	6170084
2017	1	CA	Electric Generators, Independent Power Producers	Geothermal	953623
2017	1	CA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	216252
2017	1	CA	Electric Generators, Independent Power Producers	Natural Gas	2548949
2017	1	CA	Electric Generators, Independent Power Producers	Other	5811
2017	1	CA	Electric Generators, Independent Power Producers	Petroleum	77
2017	1	CA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	935401
2017	1	CA	Electric Generators, Independent Power Producers	Other Biomass	125721
2017	1	CA	Electric Generators, Independent Power Producers	Wind	1238488
2017	1	CA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	145763
2017	1	CA	Electric Generators, Electric Utilities	Total	8499870
2017	1	CA	Electric Generators, Electric Utilities	Geothermal	71338
2017	1	CA	Electric Generators, Electric Utilities	Pumped Storage	192666
2017	1	CA	Electric Generators, Electric Utilities	Hydroelectric Conventional	3645177
2017	1	CA	Electric Generators, Electric Utilities	Natural Gas	2865947
2017	1	CA	Electric Generators, Electric Utilities	Nuclear	1645132
2017	1	CA	Electric Generators, Electric Utilities	Other Gases	0
2017	1	CA	Electric Generators, Electric Utilities	Other	-662
2017	1	CA	Electric Generators, Electric Utilities	Petroleum	2893
2017	1	CA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	19720
2017	1	CA	Electric Generators, Electric Utilities	Other Biomass	13525
2017	1	CA	Electric Generators, Electric Utilities	Wind	44135
2017	1	CO	Total Electric Power Industry	Total	4967360
2017	1	CO	Total Electric Power Industry	Coal	2806793
2017	1	CO	Total Electric Power Industry	Pumped Storage	-29303
2017	1	CO	Total Electric Power Industry	Hydroelectric Conventional	183461
2017	1	CO	Total Electric Power Industry	Natural Gas	1085511
2017	1	CO	Total Electric Power Industry	Other	4772
2017	1	CO	Total Electric Power Industry	Petroleum	314
2017	1	CO	Total Electric Power Industry	Solar Thermal and Photovoltaic	39840
2017	1	CO	Total Electric Power Industry	Other Biomass	6890
2017	1	CO	Total Electric Power Industry	Wind	862356
2017	1	CO	Total Electric Power Industry	Wood and Wood Derived Fuels	6727
2017	1	CO	Combined Heat and Power, Industrial Power	Total	6714
2017	1	CO	Combined Heat and Power, Industrial Power	Coal	1232
2017	1	CO	Combined Heat and Power, Industrial Power	Natural Gas	1685
2017	1	CO	Combined Heat and Power, Industrial Power	Other	3532
2017	1	CO	Combined Heat and Power, Industrial Power	Petroleum	0
2017	1	CO	Combined Heat and Power, Industrial Power	Wind	265
2017	1	CO	Combined Heat and Power, Commercial Power	Total	1638
2017	1	CO	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	178
2017	1	CO	Combined Heat and Power, Commercial Power	Natural Gas	0
2017	1	CO	Combined Heat and Power, Commercial Power	Petroleum	0
2017	1	CO	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	668
2017	1	CO	Combined Heat and Power, Commercial Power	Wind	791
2017	1	CO	Combined Heat and Power, Electric Power	Total	18839
2017	1	CO	Combined Heat and Power, Electric Power	Coal	0
2017	1	CO	Combined Heat and Power, Electric Power	Natural Gas	16090
2017	1	CO	Combined Heat and Power, Electric Power	Petroleum	0
2017	1	CO	Combined Heat and Power, Electric Power	Other Biomass	2749
2017	1	CO	Electric Generators, Independent Power Producers	Total	1069687
2017	1	CO	Electric Generators, Independent Power Producers	Hydroelectric Conventional	20493
2017	1	CO	Electric Generators, Independent Power Producers	Natural Gas	164143
2017	1	CO	Electric Generators, Independent Power Producers	Other	1240
2017	1	CO	Electric Generators, Independent Power Producers	Petroleum	0
2017	1	CO	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	39172
2017	1	CO	Electric Generators, Independent Power Producers	Other Biomass	4141
2017	1	CO	Electric Generators, Independent Power Producers	Wind	833771
2017	1	CO	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	6727
2017	1	CO	Electric Generators, Electric Utilities	Total	3870483
2017	1	CO	Electric Generators, Electric Utilities	Coal	2805561
2017	1	CO	Electric Generators, Electric Utilities	Pumped Storage	-29303
2017	1	CO	Electric Generators, Electric Utilities	Hydroelectric Conventional	162790
2017	1	CO	Electric Generators, Electric Utilities	Natural Gas	903593
2017	1	CO	Electric Generators, Electric Utilities	Petroleum	314
2017	1	CO	Electric Generators, Electric Utilities	Wind	27529
2017	1	CT	Total Electric Power Industry	Total	3235848
2017	1	CT	Total Electric Power Industry	Coal	39629
2017	1	CT	Total Electric Power Industry	Pumped Storage	513
2017	1	CT	Total Electric Power Industry	Hydroelectric Conventional	26077
2017	1	CT	Total Electric Power Industry	Natural Gas	1498212
2017	1	CT	Total Electric Power Industry	Nuclear	1552802
2017	1	CT	Total Electric Power Industry	Other	43022
2017	1	CT	Total Electric Power Industry	Petroleum	5721
2017	1	CT	Total Electric Power Industry	Solar Thermal and Photovoltaic	2157
2017	1	CT	Total Electric Power Industry	Other Biomass	46247
2017	1	CT	Total Electric Power Industry	Wind	859
2017	1	CT	Total Electric Power Industry	Wood and Wood Derived Fuels	20609
2017	1	CT	Combined Heat and Power, Industrial Power	Total	44977
2017	1	CT	Combined Heat and Power, Industrial Power	Natural Gas	44967
2017	1	CT	Combined Heat and Power, Industrial Power	Petroleum	10
2017	1	CT	Combined Heat and Power, Commercial Power	Total	31857
2017	1	CT	Combined Heat and Power, Commercial Power	Natural Gas	31840
2017	1	CT	Combined Heat and Power, Commercial Power	Petroleum	17
2017	1	CT	Combined Heat and Power, Electric Power	Total	10770
2017	1	CT	Combined Heat and Power, Electric Power	Natural Gas	10770
2017	1	CT	Combined Heat and Power, Electric Power	Petroleum	0
2017	1	CT	Electric Generators, Independent Power Producers	Total	3141519
2017	1	CT	Electric Generators, Independent Power Producers	Coal	39629
2017	1	CT	Electric Generators, Independent Power Producers	Pumped Storage	513
2017	1	CT	Electric Generators, Independent Power Producers	Hydroelectric Conventional	24438
2017	1	CT	Electric Generators, Independent Power Producers	Natural Gas	1406382
2017	1	CT	Electric Generators, Independent Power Producers	Nuclear	1552802
2017	1	CT	Electric Generators, Independent Power Producers	Other	43022
2017	1	CT	Electric Generators, Independent Power Producers	Petroleum	4988
2017	1	CT	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	2030
2017	1	CT	Electric Generators, Independent Power Producers	Other Biomass	46247
2017	1	CT	Electric Generators, Independent Power Producers	Wind	859
2017	1	CT	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	20609
2017	1	CT	Electric Generators, Electric Utilities	Total	6725
2017	1	CT	Electric Generators, Electric Utilities	Hydroelectric Conventional	1638
2017	1	CT	Electric Generators, Electric Utilities	Natural Gas	4254
2017	1	CT	Electric Generators, Electric Utilities	Petroleum	706
2017	1	CT	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	127
2017	1	CT	Electric Generators, Electric Utilities	Other Biomass	0
2017	1	DC	Total Electric Power Industry	Total	9717
2017	1	DC	Total Electric Power Industry	Natural Gas	4452
2017	1	DC	Total Electric Power Industry	Petroleum	0
2017	1	DC	Total Electric Power Industry	Other Biomass	5265
2017	1	DC	Combined Heat and Power, Commercial Power	Total	4452
2017	1	DC	Combined Heat and Power, Commercial Power	Natural Gas	4452
2017	1	DC	Combined Heat and Power, Commercial Power	Petroleum	0
2017	1	DC	Combined Heat and Power, Electric Power	Total	5265
2017	1	DC	Combined Heat and Power, Electric Power	Natural Gas	0
2017	1	DC	Combined Heat and Power, Electric Power	Other Biomass	5265
2017	1	DE	Total Electric Power Industry	Total	475758
2017	1	DE	Total Electric Power Industry	Coal	18122
2017	1	DE	Total Electric Power Industry	Natural Gas	417991
2017	1	DE	Total Electric Power Industry	Other Gases	27164
2017	1	DE	Total Electric Power Industry	Petroleum	4012
2017	1	DE	Total Electric Power Industry	Solar Thermal and Photovoltaic	2129
2017	1	DE	Total Electric Power Industry	Other Biomass	5842
2017	1	DE	Total Electric Power Industry	Wind	498
2017	1	DE	Combined Heat and Power, Industrial Power	Total	111241
2017	1	DE	Combined Heat and Power, Industrial Power	Natural Gas	82719
2017	1	DE	Combined Heat and Power, Industrial Power	Other Gases	27164
2017	1	DE	Combined Heat and Power, Industrial Power	Petroleum	0
2017	1	DE	Combined Heat and Power, Industrial Power	Other Biomass	1358
2017	1	DE	Combined Heat and Power, Commercial Power	Total	559
2017	1	DE	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	61
2017	1	DE	Combined Heat and Power, Commercial Power	Wind	498
2017	1	DE	Combined Heat and Power, Electric Power	Total	2723
2017	1	DE	Combined Heat and Power, Electric Power	Coal	0
2017	1	DE	Combined Heat and Power, Electric Power	Natural Gas	2413
2017	1	DE	Combined Heat and Power, Electric Power	Petroleum	310
2017	1	DE	Electric Generators, Independent Power Producers	Total	360796
2017	1	DE	Electric Generators, Independent Power Producers	Coal	18122
2017	1	DE	Electric Generators, Independent Power Producers	Natural Gas	332715
2017	1	DE	Electric Generators, Independent Power Producers	Petroleum	3703
2017	1	DE	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	1773
2017	1	DE	Electric Generators, Independent Power Producers	Other Biomass	4484
2017	1	DE	Electric Generators, Electric Utilities	Total	440
2017	1	DE	Electric Generators, Electric Utilities	Natural Gas	145
2017	1	DE	Electric Generators, Electric Utilities	Petroleum	0
2017	1	DE	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	295
2017	1	FL	Total Electric Power Industry	Total	17547018
2017	1	FL	Total Electric Power Industry	Coal	3284578
2017	1	FL	Total Electric Power Industry	Hydroelectric Conventional	17825
2017	1	FL	Total Electric Power Industry	Natural Gas	10607703
2017	1	FL	Total Electric Power Industry	Nuclear	2735804
2017	1	FL	Total Electric Power Industry	Other Gases	371
2017	1	FL	Total Electric Power Industry	Other	257574
2017	1	FL	Total Electric Power Industry	Petroleum	138716
2017	1	FL	Total Electric Power Industry	Solar Thermal and Photovoltaic	46393
2017	1	FL	Total Electric Power Industry	Other Biomass	261981
2017	1	FL	Total Electric Power Industry	Wood and Wood Derived Fuels	196072
2017	1	FL	Combined Heat and Power, Industrial Power	Total	432814
2017	1	FL	Combined Heat and Power, Industrial Power	Coal	12161
2017	1	FL	Combined Heat and Power, Industrial Power	Natural Gas	124113
2017	1	FL	Combined Heat and Power, Industrial Power	Other Gases	371
2017	1	FL	Combined Heat and Power, Industrial Power	Other	113478
2017	1	FL	Combined Heat and Power, Industrial Power	Petroleum	1391
2017	1	FL	Combined Heat and Power, Industrial Power	Other Biomass	35146
2017	1	FL	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	146153
2017	1	FL	Combined Heat and Power, Commercial Power	Total	7467
2017	1	FL	Combined Heat and Power, Commercial Power	Natural Gas	2755
2017	1	FL	Combined Heat and Power, Commercial Power	Petroleum	0
2017	1	FL	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	188
2017	1	FL	Combined Heat and Power, Commercial Power	Other Biomass	4525
2017	1	FL	Combined Heat and Power, Electric Power	Total	221199
2017	1	FL	Combined Heat and Power, Electric Power	Coal	0
2017	1	FL	Combined Heat and Power, Electric Power	Natural Gas	211663
2017	1	FL	Combined Heat and Power, Electric Power	Petroleum	0
2017	1	FL	Combined Heat and Power, Electric Power	Other Biomass	9536
2017	1	FL	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	0
2017	1	FL	Electric Generators, Independent Power Producers	Total	640621
2017	1	FL	Electric Generators, Independent Power Producers	Coal	0
2017	1	FL	Electric Generators, Independent Power Producers	Natural Gas	238390
2017	1	FL	Electric Generators, Independent Power Producers	Other	144096
2017	1	FL	Electric Generators, Independent Power Producers	Petroleum	212
2017	1	FL	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	2947
2017	1	FL	Electric Generators, Independent Power Producers	Other Biomass	205058
2017	1	FL	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	49919
2017	1	FL	Electric Generators, Electric Utilities	Total	16244916
2017	1	FL	Electric Generators, Electric Utilities	Coal	3272417
2017	1	FL	Electric Generators, Electric Utilities	Hydroelectric Conventional	17825
2017	1	FL	Electric Generators, Electric Utilities	Natural Gas	10030782
2017	1	FL	Electric Generators, Electric Utilities	Nuclear	2735804
2017	1	FL	Electric Generators, Electric Utilities	Petroleum	137113
2017	1	FL	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	43258
2017	1	FL	Electric Generators, Electric Utilities	Other Biomass	7716
2017	1	GA	Total Electric Power Industry	Total	10303007
2017	1	GA	Total Electric Power Industry	Coal	2528274
2017	1	GA	Total Electric Power Industry	Pumped Storage	-132430
2017	1	GA	Total Electric Power Industry	Hydroelectric Conventional	328983
2017	1	GA	Total Electric Power Industry	Natural Gas	4116304
2017	1	GA	Total Electric Power Industry	Nuclear	2928570
2017	1	GA	Total Electric Power Industry	Other	8218
2017	1	GA	Total Electric Power Industry	Petroleum	26310
2017	1	GA	Total Electric Power Industry	Solar Thermal and Photovoltaic	107928
2017	1	GA	Total Electric Power Industry	Other Biomass	16344
2017	1	GA	Total Electric Power Industry	Wood and Wood Derived Fuels	374505
2017	1	GA	Combined Heat and Power, Industrial Power	Total	420820
2017	1	GA	Combined Heat and Power, Industrial Power	Coal	13494
2017	1	GA	Combined Heat and Power, Industrial Power	Hydroelectric Conventional	1464
2017	1	GA	Combined Heat and Power, Industrial Power	Natural Gas	42121
2017	1	GA	Combined Heat and Power, Industrial Power	Other	8218
2017	1	GA	Combined Heat and Power, Industrial Power	Petroleum	14416
2017	1	GA	Combined Heat and Power, Industrial Power	Other Biomass	3181
2017	1	GA	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	337927
2017	1	GA	Combined Heat and Power, Commercial Power	Total	356
2017	1	GA	Combined Heat and Power, Commercial Power	Natural Gas	0
2017	1	GA	Combined Heat and Power, Commercial Power	Petroleum	231
2017	1	GA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	125
2017	1	GA	Combined Heat and Power, Commercial Power	Other Biomass	0
2017	1	GA	Combined Heat and Power, Electric Power	Total	2818
2017	1	GA	Combined Heat and Power, Electric Power	Natural Gas	220
2017	1	GA	Combined Heat and Power, Electric Power	Petroleum	1672
2017	1	GA	Combined Heat and Power, Electric Power	Other Biomass	926
2017	1	GA	Electric Generators, Independent Power Producers	Total	913522
2017	1	GA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	965
2017	1	GA	Electric Generators, Independent Power Producers	Natural Gas	769806
2017	1	GA	Electric Generators, Independent Power Producers	Petroleum	1775
2017	1	GA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	92161
2017	1	GA	Electric Generators, Independent Power Producers	Other Biomass	12237
2017	1	GA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	36579
2017	1	GA	Electric Generators, Electric Utilities	Total	8965491
2017	1	GA	Electric Generators, Electric Utilities	Coal	2514781
2017	1	GA	Electric Generators, Electric Utilities	Pumped Storage	-132430
2017	1	GA	Electric Generators, Electric Utilities	Hydroelectric Conventional	326555
2017	1	GA	Electric Generators, Electric Utilities	Natural Gas	3304158
2017	1	GA	Electric Generators, Electric Utilities	Nuclear	2928570
2017	1	GA	Electric Generators, Electric Utilities	Other	0
2017	1	GA	Electric Generators, Electric Utilities	Petroleum	8217
2017	1	GA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	15641
2017	1	HI	Total Electric Power Industry	Total	805552
2017	1	HI	Total Electric Power Industry	Coal	66069
2017	1	HI	Total Electric Power Industry	Geothermal	21942
2017	1	HI	Total Electric Power Industry	Hydroelectric Conventional	7196
