U.S. Department of Energy, The Energy Information Administration (EIA)					
Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through December 2019					
Sources: EIA-923 Report					
					
YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	CONSUMPTION
2019	1	CA	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	CA	Electric Generators, Independent Power Producers	Geothermal (Billion Btu)	8,620
2019	1	CA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	20,828,837
2019	1	CA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	771
2019	1	CA	Electric Generators, Electric Utilities	Geothermal (Billion Btu)	618
2019	1	CA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	17,690,577
2019	1	CA	Electric Generators, Electric Utilities	Other Gases (Billion Btu)	0
2019	1	CA	Electric Generators, Electric Utilities	Petroleum (Barrels)	5,421
2019	1	CO	Total Electric Power Industry	Coal (Short Tons)	1,480,741
2019	1	CO	Total Electric Power Industry	Natural Gas (Mcf)	9,830,771
2019	1	CO	Total Electric Power Industry	Petroleum (Barrels)	3,598
2019	1	CO	Combined Heat and Power, Industrial Power	Coal (Short Tons)	352
2019	1	CO	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	29,567
2019	1	CO	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	35
2019	1	CO	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	6,735
2019	1	CO	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	0
2019	1	CO	Combined Heat and Power, Electric Power	Coal (Short Tons)	0
2019	1	CO	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	79,854
2019	1	CO	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	CO	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	1,023,749
2019	1	CO	Electric Generators, Independent Power Producers	Petroleum (Barrels)	0
2019	1	CO	Electric Generators, Electric Utilities	Coal (Short Tons)	1,480,389
2019	1	CO	Electric Generators, Electric Utilities	Natural Gas (Mcf)	8,690,866
2019	1	CO	Electric Generators, Electric Utilities	Petroleum (Barrels)	3,563
2019	1	CT	Total Electric Power Industry	Coal (Short Tons)	31,243
2019	1	CT	Total Electric Power Industry	Natural Gas (Mcf)	11,712,278
2019	1	CT	Total Electric Power Industry	Petroleum (Barrels)	38,178
2019	1	CT	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	304,464
2019	1	CT	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	103
2019	1	CT	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	185,035
2019	1	CT	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	1,902
2019	1	CT	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	64,529
2019	1	CT	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	CT	Electric Generators, Independent Power Producers	Coal (Short Tons)	31,243
2019	1	CT	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	11,128,214
2019	1	CT	Electric Generators, Independent Power Producers	Petroleum (Barrels)	35,460
2019	1	CT	Electric Generators, Electric Utilities	Natural Gas (Mcf)	30,036
2019	1	CT	Electric Generators, Electric Utilities	Petroleum (Barrels)	713
2019	1	DC	Total Electric Power Industry	Natural Gas (Mcf)	73,826
2019	1	DC	Total Electric Power Industry	Petroleum (Barrels)	0
2019	1	DC	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	73,826
2019	1	DC	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	0
2019	1	DE	Total Electric Power Industry	Coal (Short Tons)	15,865
2019	1	DE	Total Electric Power Industry	Natural Gas (Mcf)	1,562,592
2019	1	DE	Total Electric Power Industry	Other Gases (Billion Btu)	71
2019	1	DE	Total Electric Power Industry	Petroleum (Barrels)	23,541
2019	1	DE	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	384,500
2019	1	DE	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	71
2019	1	DE	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	0
2019	1	DE	Combined Heat and Power, Electric Power	Coal (Short Tons)	0
2019	1	DE	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,855
2019	1	DE	Combined Heat and Power, Electric Power	Petroleum (Barrels)	340
2019	1	DE	Electric Generators, Independent Power Producers	Coal (Short Tons)	15,865
2019	1	DE	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	1,175,476
2019	1	DE	Electric Generators, Independent Power Producers	Petroleum (Barrels)	22,776
2019	1	DE	Electric Generators, Electric Utilities	Natural Gas (Mcf)	761
2019	1	DE	Electric Generators, Electric Utilities	Petroleum (Barrels)	425
2019	1	FL	Total Electric Power Industry	Coal (Short Tons)	919,462
2019	1	FL	Total Electric Power Industry	Natural Gas (Mcf)	90,156,131
2019	1	FL	Total Electric Power Industry	Other Gases (Billion Btu)	0
2019	1	FL	Total Electric Power Industry	Petroleum (Barrels)	282,943
2019	1	FL	Combined Heat and Power, Industrial Power	Coal (Short Tons)	1,022
2019	1	FL	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	725,699
2019	1	FL	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	0
2019	1	FL	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	1,162
2019	1	FL	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	9,863
2019	1	FL	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	0
2019	1	FL	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,220,668
2019	1	FL	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	FL	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	1,292,682
2019	1	FL	Electric Generators, Independent Power Producers	Petroleum (Barrels)	766
2019	1	FL	Electric Generators, Electric Utilities	Coal (Short Tons)	918,440
2019	1	FL	Electric Generators, Electric Utilities	Natural Gas (Mcf)	86,907,219
2019	1	FL	Electric Generators, Electric Utilities	Petroleum (Barrels)	281,015
2019	1	GA	Total Electric Power Industry	Coal (Short Tons)	1,141,840
2019	1	GA	Total Electric Power Industry	Natural Gas (Mcf)	30,711,826
2019	1	GA	Total Electric Power Industry	Petroleum (Barrels)	44,423
2019	1	GA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	3,970
2019	1	GA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	312,834
2019	1	GA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	21,362
2019	1	GA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	0
2019	1	GA	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	160
2019	1	GA	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	44,590
2019	1	GA	Combined Heat and Power, Electric Power	Petroleum (Barrels)	192
2019	1	GA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	5,300,496
2019	1	GA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	5,312
2019	1	GA	Electric Generators, Electric Utilities	Coal (Short Tons)	1,137,870
2019	1	GA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	25,053,906
2019	1	GA	Electric Generators, Electric Utilities	Petroleum (Barrels)	17,397
2019	1	HI	Total Electric Power Industry	Coal (Short Tons)	52,843
2019	1	HI	Total Electric Power Industry	Geothermal (Billion Btu)	103
2019	1	HI	Total Electric Power Industry	Other Gases (Billion Btu)	3
2019	1	HI	Total Electric Power Industry	Petroleum (Barrels)	943,835
2019	1	HI	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	3
2019	1	HI	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	17,082
2019	1	HI	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	1,004
2019	1	HI	Combined Heat and Power, Electric Power	Coal (Short Tons)	52,843
2019	1	HI	Combined Heat and Power, Electric Power	Petroleum (Barrels)	87,525
2019	1	HI	Electric Generators, Independent Power Producers	Geothermal (Billion Btu)	103
2019	1	HI	Electric Generators, Independent Power Producers	Petroleum (Barrels)	65,076
2019	1	HI	Electric Generators, Electric Utilities	Petroleum (Barrels)	773,148
2019	1	IA	Total Electric Power Industry	Coal (Short Tons)	1,415,968
2019	1	IA	Total Electric Power Industry	Natural Gas (Mcf)	3,831,981
2019	1	IA	Total Electric Power Industry	Petroleum (Barrels)	9,947
2019	1	IA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	40,758
2019	1	IA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	244,107
2019	1	IA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	46
2019	1	IA	Combined Heat and Power, Commercial Power	Coal (Short Tons)	1,626
2019	1	IA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	41,921
2019	1	IA	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	1,849
2019	1	IA	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	4,548
2019	1	IA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	0
2019	1	IA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	586
2019	1	IA	Electric Generators, Electric Utilities	Coal (Short Tons)	1,373,584
2019	1	IA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	3,541,405
2019	1	IA	Electric Generators, Electric Utilities	Petroleum (Barrels)	7,466
2019	1	ID	Total Electric Power Industry	Coal (Short Tons)	400
2019	1	ID	Total Electric Power Industry	Geothermal (Billion Btu)	58
2019	1	ID	Total Electric Power Industry	Natural Gas (Mcf)	2,923,909
2019	1	ID	Total Electric Power Industry	Petroleum (Barrels)	0
2019	1	ID	Combined Heat and Power, Industrial Power	Coal (Short Tons)	400
2019	1	ID	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	52,494
2019	1	ID	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	0
2019	1	ID	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	13,852
2019	1	ID	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	0
2019	1	ID	Electric Generators, Independent Power Producers	Geothermal (Billion Btu)	58
2019	1	ID	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	1,241,197
2019	1	ID	Electric Generators, Electric Utilities	Natural Gas (Mcf)	1,616,366
2019	1	ID	Electric Generators, Electric Utilities	Petroleum (Barrels)	0
2019	1	IL	Total Electric Power Industry	Coal (Short Tons)	3,560,280
2019	1	IL	Total Electric Power Industry	Natural Gas (Mcf)	9,843,082
2019	1	IL	Total Electric Power Industry	Other Gases (Billion Btu)	195
2019	1	IL	Total Electric Power Industry	Petroleum (Barrels)	6,993
2019	1	IL	Combined Heat and Power, Industrial Power	Coal (Short Tons)	44,786
2019	1	IL	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	395,825
2019	1	IL	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	195
2019	1	IL	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	0
2019	1	IL	Combined Heat and Power, Commercial Power	Coal (Short Tons)	1,560
2019	1	IL	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	156,046
2019	1	IL	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	9
2019	1	IL	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	412,160
2019	1	IL	Combined Heat and Power, Electric Power	Other Gases (Billion Btu)	0
2019	1	IL	Electric Generators, Independent Power Producers	Coal (Short Tons)	3,295,192
2019	1	IL	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	8,491,142
2019	1	IL	Electric Generators, Independent Power Producers	Petroleum (Barrels)	6,078
2019	1	IL	Electric Generators, Electric Utilities	Coal (Short Tons)	218,742
2019	1	IL	Electric Generators, Electric Utilities	Natural Gas (Mcf)	387,909
2019	1	IL	Electric Generators, Electric Utilities	Petroleum (Barrels)	906
2019	1	IN	Total Electric Power Industry	Coal (Short Tons)	3,327,006
2019	1	IN	Total Electric Power Industry	Natural Gas (Mcf)	18,869,975
2019	1	IN	Total Electric Power Industry	Other Gases (Billion Btu)	1,048
2019	1	IN	Total Electric Power Industry	Petroleum (Barrels)	21,853
2019	1	IN	Combined Heat and Power, Industrial Power	Coal (Short Tons)	0
2019	1	IN	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	1,245,776
2019	1	IN	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	1,048
2019	1	IN	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	1,105
2019	1	IN	Combined Heat and Power, Commercial Power	Coal (Short Tons)	473
2019	1	IN	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	68,425
2019	1	IN	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	38
2019	1	IN	Combined Heat and Power, Electric Power	Coal (Short Tons)	193,186
2019	1	IN	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,827,122
2019	1	IN	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	IN	Electric Generators, Independent Power Producers	Coal (Short Tons)	0
2019	1	IN	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	8,058,544
2019	1	IN	Electric Generators, Independent Power Producers	Petroleum (Barrels)	0
2019	1	IN	Electric Generators, Electric Utilities	Coal (Short Tons)	3,133,347
2019	1	IN	Electric Generators, Electric Utilities	Natural Gas (Mcf)	7,670,108
2019	1	IN	Electric Generators, Electric Utilities	Petroleum (Barrels)	20,710
2019	1	KS	Total Electric Power Industry	Coal (Short Tons)	1,108,883
2019	1	KS	Total Electric Power Industry	Natural Gas (Mcf)	1,378,705
2019	1	KS	Total Electric Power Industry	Petroleum (Barrels)	13,975
2019	1	KS	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	67,557
2019	1	KS	Electric Generators, Electric Utilities	Coal (Short Tons)	1,108,883
2019	1	KS	Electric Generators, Electric Utilities	Natural Gas (Mcf)	1,311,148
2019	1	KS	Electric Generators, Electric Utilities	Petroleum (Barrels)	13,975
2019	1	KY	Total Electric Power Industry	Coal (Short Tons)	2,642,732
2019	1	KY	Total Electric Power Industry	Natural Gas (Mcf)	9,543,595
2019	1	KY	Total Electric Power Industry	Petroleum (Barrels)	16,778
2019	1	KY	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	88,523
2019	1	KY	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	514,398
2019	1	KY	Electric Generators, Electric Utilities	Coal (Short Tons)	2,642,732
2019	1	KY	Electric Generators, Electric Utilities	Natural Gas (Mcf)	8,940,674
2019	1	KY	Electric Generators, Electric Utilities	Petroleum (Barrels)	16,778
2019	1	LA	Total Electric Power Industry	Coal (Short Tons)	468,054
2019	1	LA	Total Electric Power Industry	Natural Gas (Mcf)	39,467,274
2019	1	LA	Total Electric Power Industry	Other Gases (Billion Btu)	1,230
2019	1	LA	Total Electric Power Industry	Petroleum (Barrels)	737,425
2019	1	LA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	0
2019	1	LA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	14,349,470
2019	1	LA	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	1,230
2019	1	LA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	2,300
2019	1	LA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	66,425
2019	1	LA	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,816,585
2019	1	LA	Electric Generators, Independent Power Producers	Coal (Short Tons)	171,034
2019	1	LA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	198,131
2019	1	LA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	0
2019	1	LA	Electric Generators, Electric Utilities	Coal (Short Tons)	297,020
2019	1	LA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	23,036,663
2019	1	LA	Electric Generators, Electric Utilities	Petroleum (Barrels)	735,125
2019	1	MA	Total Electric Power Industry	Coal (Short Tons)	0
2019	1	MA	Total Electric Power Industry	Natural Gas (Mcf)	11,194,287
2019	1	MA	Total Electric Power Industry	Petroleum (Barrels)	68,434
2019	1	MA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	0
2019	1	MA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	125,009
2019	1	MA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	598
2019	1	MA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	256,939
2019	1	MA	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	788
2019	1	MA	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	980,687
2019	1	MA	Combined Heat and Power, Electric Power	Petroleum (Barrels)	481
2019	1	MA	Electric Generators, Independent Power Producers	Coal (Short Tons)	0
2019	1	MA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	9,780,111
2019	1	MA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	62,854
2019	1	MA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	51,541
2019	1	MA	Electric Generators, Electric Utilities	Petroleum (Barrels)	3,713
2019	1	MD	Total Electric Power Industry	Coal (Short Tons)	308,274
2019	1	MD	Total Electric Power Industry	Natural Gas (Mcf)	8,000,353
2019	1	MD	Total Electric Power Industry	Petroleum (Barrels)	31,556
2019	1	MD	Combined Heat and Power, Industrial Power	Coal (Short Tons)	1,900
2019	1	MD	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	34,376
2019	1	MD	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	448
2019	1	MD	Combined Heat and Power, Commercial Power	Coal (Short Tons)	0
2019	1	MD	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	837,724
2019	1	MD	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	121
2019	1	MD	Combined Heat and Power, Electric Power	Coal (Short Tons)	45,022
2019	1	MD	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	173,048
2019	1	MD	Combined Heat and Power, Electric Power	Petroleum (Barrels)	99
2019	1	MD	Electric Generators, Independent Power Producers	Coal (Short Tons)	261,352
2019	1	MD	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	4,454,259
2019	1	MD	Electric Generators, Independent Power Producers	Petroleum (Barrels)	29,691
2019	1	MD	Electric Generators, Electric Utilities	Natural Gas (Mcf)	2,500,946
2019	1	MD	Electric Generators, Electric Utilities	Petroleum (Barrels)	1,197
2019	1	ME	Total Electric Power Industry	Coal (Short Tons)	2,329
2019	1	ME	Total Electric Power Industry	Natural Gas (Mcf)	1,033,930
2019	1	ME	Total Electric Power Industry	Petroleum (Barrels)	5,544
2019	1	ME	Combined Heat and Power, Industrial Power	Coal (Short Tons)	558
2019	1	ME	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	124,284
2019	1	ME	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	1,455
2019	1	ME	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	12,731
2019	1	ME	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	1,014
2019	1	ME	Combined Heat and Power, Electric Power	Coal (Short Tons)	1,771
2019	1	ME	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	0
2019	1	ME	Combined Heat and Power, Electric Power	Petroleum (Barrels)	1,534
2019	1	ME	Electric Generators, Independent Power Producers	Coal (Short Tons)	0
2019	1	ME	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	896,915
2019	1	ME	Electric Generators, Independent Power Producers	Petroleum (Barrels)	1,541
2019	1	ME	Electric Generators, Electric Utilities	Petroleum (Barrels)	0
2019	1	MI	Total Electric Power Industry	Coal (Short Tons)	2,066,630
2019	1	MI	Total Electric Power Industry	Natural Gas (Mcf)	19,947,695
2019	1	MI	Total Electric Power Industry	Other Gases (Billion Btu)	687
2019	1	MI	Total Electric Power Industry	Petroleum (Barrels)	309,812
2019	1	MI	Combined Heat and Power, Industrial Power	Coal (Short Tons)	2,808
2019	1	MI	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	334,651
2019	1	MI	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	22,908
2019	1	MI	Combined Heat and Power, Commercial Power	Coal (Short Tons)	0
2019	1	MI	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	286,580
2019	1	MI	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	495
2019	1	MI	Combined Heat and Power, Electric Power	Coal (Short Tons)	16,798
2019	1	MI	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	8,286,691
2019	1	MI	Combined Heat and Power, Electric Power	Other Gases (Billion Btu)	531
2019	1	MI	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	MI	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	4,226,312
2019	1	MI	Electric Generators, Independent Power Producers	Petroleum (Barrels)	0
2019	1	MI	Electric Generators, Electric Utilities	Coal (Short Tons)	2,047,024
2019	1	MI	Electric Generators, Electric Utilities	Natural Gas (Mcf)	6,813,461
2019	1	MI	Electric Generators, Electric Utilities	Other Gases (Billion Btu)	157
2019	1	MI	Electric Generators, Electric Utilities	Petroleum (Barrels)	286,409
2019	1	MN	Total Electric Power Industry	Coal (Short Tons)	1,247,907
2019	1	MN	Total Electric Power Industry	Natural Gas (Mcf)	4,185,473
2019	1	MN	Total Electric Power Industry	Petroleum (Barrels)	14,391
2019	1	MN	Combined Heat and Power, Industrial Power	Coal (Short Tons)	15,864
2019	1	MN	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	63,368
2019	1	MN	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	158
2019	1	MN	Combined Heat and Power, Commercial Power	Coal (Short Tons)	79
2019	1	MN	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	65,129
2019	1	MN	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	434
2019	1	MN	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	241,850
2019	1	MN	Combined Heat and Power, Electric Power	Petroleum (Barrels)	131
2019	1	MN	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	306,309
2019	1	MN	Electric Generators, Independent Power Producers	Petroleum (Barrels)	5,291
2019	1	MN	Electric Generators, Electric Utilities	Coal (Short Tons)	1,231,964
2019	1	MN	Electric Generators, Electric Utilities	Natural Gas (Mcf)	3,508,817
2019	1	MN	Electric Generators, Electric Utilities	Petroleum (Barrels)	8,377
2019	1	MO	Total Electric Power Industry	Coal (Short Tons)	3,533,284
2019	1	MO	Total Electric Power Industry	Natural Gas (Mcf)	3,451,202
