U.S. Department of Energy, The Energy Information Administration (EIA)					
Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through December 2019					
Sources: EIA-923 Report					
					
YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	CONSUMPTION
2019	1	AK	Total Electric Power Industry	Coal (Short Tons)	58,562
2019	1	AK	Total Electric Power Industry	Natural Gas (Mcf)	2,668,279
2019	1	AK	Total Electric Power Industry	Petroleum (Barrels)	167,058
2019	1	AK	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	26,836
2019	1	AK	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	5,381
2019	1	AK	Combined Heat and Power, Commercial Power	Coal (Short Tons)	3,335
2019	1	AK	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	0
2019	1	AK	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	1,155
2019	1	AK	Combined Heat and Power, Electric Power	Coal (Short Tons)	11,806
2019	1	AK	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	AK	Electric Generators, Electric Utilities	Coal (Short Tons)	43,421
2019	1	AK	Electric Generators, Electric Utilities	Natural Gas (Mcf)	2,641,443
2019	1	AK	Electric Generators, Electric Utilities	Petroleum (Barrels)	160,522
2019	1	AL	Total Electric Power Industry	Coal (Short Tons)	1,555,736
2019	1	AL	Total Electric Power Industry	Natural Gas (Mcf)	27,054,815
2019	1	AL	Total Electric Power Industry	Other Gases (Billion Btu)	3
2019	1	AL	Total Electric Power Industry	Petroleum (Barrels)	6,259
2019	1	AL	Combined Heat and Power, Industrial Power	Coal (Short Tons)	2,122
2019	1	AL	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	656,499
2019	1	AL	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	3
2019	1	AL	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	604
2019	1	AL	Combined Heat and Power, Electric Power	Coal (Short Tons)	0
2019	1	AL	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,471,942
2019	1	AL	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	14,798,026
2019	1	AL	Electric Generators, Independent Power Producers	Petroleum (Barrels)	142
2019	1	AL	Electric Generators, Electric Utilities	Coal (Short Tons)	1,553,614
2019	1	AL	Electric Generators, Electric Utilities	Natural Gas (Mcf)	10,128,348
2019	1	AL	Electric Generators, Electric Utilities	Petroleum (Barrels)	5,513
2019	1	AR	Total Electric Power Industry	Coal (Short Tons)	1,627,319
2019	1	AR	Total Electric Power Industry	Natural Gas (Mcf)	9,126,328
2019	1	AR	Total Electric Power Industry	Petroleum (Barrels)	9,409
2019	1	AR	Combined Heat and Power, Industrial Power	Coal (Short Tons)	1,307
2019	1	AR	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	151,330
2019	1	AR	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	342
2019	1	AR	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	37,662
2019	1	AR	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	643,048
2019	1	AR	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	AR	Electric Generators, Independent Power Producers	Coal (Short Tons)	136,819
2019	1	AR	Electric Generators, Independent Power Producers	Petroleum (Barrels)	4,832
2019	1	AR	Electric Generators, Electric Utilities	Coal (Short Tons)	1,489,193
2019	1	AR	Electric Generators, Electric Utilities	Natural Gas (Mcf)	8,294,288
2019	1	AR	Electric Generators, Electric Utilities	Petroleum (Barrels)	4,235
2019	1	AZ	Total Electric Power Industry	Coal (Short Tons)	1,209,095
2019	1	AZ	Total Electric Power Industry	Natural Gas (Mcf)	21,826,140
2019	1	AZ	Total Electric Power Industry	Petroleum (Barrels)	9,719
2019	1	AZ	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	54,013
2019	1	AZ	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	4
2019	1	AZ	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	5,377
2019	1	AZ	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2019	1	AZ	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	4,198,653
2019	1	AZ	Electric Generators, Electric Utilities	Coal (Short Tons)	1,209,095
2019	1	AZ	Electric Generators, Electric Utilities	Natural Gas (Mcf)	17,568,097
2019	1	AZ	Electric Generators, Electric Utilities	Petroleum (Barrels)	9,715
2019	1	CA	Total Electric Power Industry	Coal (Short Tons)	5,220
2019	1	CA	Total Electric Power Industry	Geothermal (Billion Btu)	9,237
2019	1	CA	Total Electric Power Industry	Natural Gas (Mcf)	52,027,496
2019	1	CA	Total Electric Power Industry	Other Gases (Billion Btu)	515
2019	1	CA	Total Electric Power Industry	Petroleum (Barrels)	6,411
2019	1	CA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	5,220
2019	1	CA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	5,578,811
2019	1	CA	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	515
2019	1	CA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	154
2019	1	CA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	826,517
2019	1	CA	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	65
2019	1	CA	Combined Heat and Power, Electric Power	Coal (Short Tons)	0
2019	1	CA	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	7,102,754
