SEQPLT18	YEAR	PSTATABB	PNAME	ORISPL	UTLSRVNM	LAT	LON	PLPRMFL	PLFUELCT	PLNGENAN	PLCO2AN	PLCO2EQA	PLC2ERTA	PLCO2CRT	UNCO2	BIOCO2	CHPCO2	PLGENACL	PLGENAOL	PLGENAGS	PLGENANC	PLGENAHY	PLGENABM	PLGENAWI	PLGENASO	PLGENAGT	PLGENAOF	PLGENAOP	PLGENATN	PLGENATR	PLGENATH
4285	2018	MA	Charlestown Wind Turbine	58065	MWRA Charlestown	42.391389	-71.070833	WND	WIND	1264								0	0	0	0	0	0	1264	0	0	0	0	0	1264	1264
4286	2018	MA	Charlton Solar I	59636	Charlton Solar I, LLC	42.1275	-71.996389	SUN	SOLAR	2771								0	0	0	0	0	0	0	2771	0	0	0	0	2771	2771
4287	2018	MA	Chatham Landfill	59077	CF CVEC Owner One LLC	41.686111	-70.006111	SUN	SOLAR	1703								0	0	0	0	0	0	0	1703	0	0	0	0	1703	1703
4288	2018	MA	Chemical	1604	City of Holyoke Gas and Electric Dept.	42.1919	-72.6097	WAT	HYDRO	3490								0	0	0	0	3490	0	0	0	0	0	0	0	3490	0
4289	2018	MA	Cherry Street	9038	Town of Hudson - (MA)	42.388611	-71.56	DFO	OIL	511	369	370	1450	1446	369			0	358	153	0	0	0	0	0	0	0	0	511	0	0
4290	2018	MA	Chester Solar Farm	59767	Kearsarge Solar LLC	42.312	-72.949	SUN	SOLAR	6282								0	0	0	0	0	0	0	6282	0	0	0	0	6282	6282
4291	2018	MA	Chicopee Electric	55590	Gas Recovery Systems Inc	42.1742	-72.5311	LFG	BIOMASS																						
4292	2018	MA	Chicopee Granby Road Solar	59626	Citizens Enterprises Corporation	42.158056	-72.595833	SUN	SOLAR	2387								0	0	0	0	0	0	0	2387	0	0	0	0	2387	2387
4293	2018	MA	Chicopee Hydroelectric Station	50832	City of Chicopee - (MA)	42.159595	-72.58279	WAT	HYDRO	4869								0	0	0	0	4869	0	0	0	0	0	0	0	4869	0
4294	2018	MA	Chicopee River Solar	59625	Citizens Enterprises Corporation	42.150278	-72.552222	SUN	SOLAR	3017								0	0	0	0	0	0	0	3017	0	0	0	0	3017	3017
4295	2018	MA	Chicopee Solar	59030	Citizens Enterprises Corporation	42.185556	-72.5825	SUN	SOLAR	4559								0	0	0	0	0	0	0	4559	0	0	0	0	4559	4559
4296	2018	MA	Chocksett Rd Energy Storage Project	60959	Sterling Municipal Light Department	42.451836	-71.737747	MWH	OTHF	-169			0	0				0	0	0	0	0	0	0	0	0	0	-169	-169	0	0
4297	2018	MA	Citizens Agawam Landfill Solar	61596	Citizens Enterprises Corporation	42.092988	-72.597211	SUN	SOLAR	2852								0	0	0	0	0	0	0	2852	0	0	0	0	2852	2852
4298	2018	MA	Clark University	10408	Clark University	42.2508	-71.8226	NG	GAS	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0
4299	2018	MA	Cleary Flood	1682	City of Taunton	41.8653	-71.1061	NG	GAS	76897	54384	54454	1416	1414	54384			0	6749	70148	0	0	0	0	0	0	0	0	76897	0	0
4300	2018	MA	Cobble Mountain	1630	City of Holyoke Gas and Electric Dept.	42.117112	-72.864663	WAT	HYDRO	29158								0	0	0	0	29158	0	0	0	0	0	0	0	29158	0
4301	2018	MA	Collins Facility	52166	Ampersand Collins Hydro LLC	42.1569	-72.4227	WAT	HYDRO	4811								0	0	0	0	4811	0	0	0	0	0	0	0	4811	0
4302	2018	MA	Commercial Street	6585	City of Marblehead - (MA)	42.495833	-70.854722	DFO	OIL																						
4303	2018	MA	Concord Solar Farm	59768	Kearsarge Solar LLC	42.444	-71.335	SUN	SOLAR	1989								0	0	0	0	0	0	0	1989	0	0	0	0	1989	1989
4304	2018	MA	Cosgrove Intake and Power Station	10825	Massachusetts Water Res Auth	42.40439	-71.687218	WAT	HYDRO	3974								0	0	0	0	3974	0	0	0	0	0	0	0	3974	0
4305	2018	MA	Cottage Street Solar Facility	58568	Western Massachusetts Electric Company	42.145278	-72.538333	SUN	SOLAR	4565								0	0	0	0	0	0	0	4565	0	0	0	0	4565	4565
4306	2018	MA	Covanta Haverhill	50661	Ogden Projects Inc-Haverhill	42.765	-71.1242	MSW	BIOMASS	335821	263283	275379	1640	1568	535902	272620		0	1023	0	0	0	334798	0	0	0	0	0	1023	334798	334798
4307	2018	MA	Cranberry Point Energy Storage	62844	Cranberry Point Energy Storage LLC	41.89898	-70.78585	MWH	OTHF																						
4308	2018	MA	Curtis Hill Solar CSG	60851	CCC Solar Holdings LLC	42.175	-71.986	SUN	SOLAR	3214								0	0	0	0	0	0	0	3214	0	0	0	0	3214	3214
4309	2018	MA	Dartmouth	58682	Mass Solar, LLC	41.676111	-70.996944	SUN	SOLAR	8254								0	0	0	0	0	0	0	8254	0	0	0	0	8254	8254
4310	2018	MA	Dartmouth II Solar	57838	Consolidated Edison Development Inc.	41.680556	-71.030833	SUN	SOLAR	3158								0	0	0	0	0	0	0	3158	0	0	0	0	3158	3158
4311	2018	MA	Dartmouth Landfill	59131	Ahana Renewables, LLC	41.581111	-70.998056	SUN	SOLAR	1613								0	0	0	0	0	0	0	1613	0	0	0	0	1613	1613
4312	2018	MA	Dartmouth Power	52026	Morris Energy Operations Company, LLC	41.6731	-70.9994	NG	GAS	66877	36622	36668	1097	1095	36622			0	3991	62886	0	0	0	0	0	0	0	0	66877	0	0
