U.S. Department of Energy, The Energy Information Administration (EIA)					
Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through December 2017					
Sources: EIA-923 Report					
					
YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	CONSUMPTION
2017	1	CO	Combined Heat and Power, Industrial Power	Coal (Short Tons)	347
2017	1	CO	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	28,200
2017	1	CO	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	0
2017	1	CO	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	0
2017	1	CO	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	0
2017	1	CO	Combined Heat and Power, Electric Power	Coal (Short Tons)	0
2017	1	CO	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	85,509
2017	1	CO	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2017	1	CO	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	1,419,932
2017	1	CO	Electric Generators, Independent Power Producers	Petroleum (Barrels)	0
2017	1	CO	Electric Generators, Electric Utilities	Coal (Short Tons)	1,591,661
2017	1	CO	Electric Generators, Electric Utilities	Natural Gas (Mcf)	6,423,626
2017	1	CO	Electric Generators, Electric Utilities	Petroleum (Barrels)	1,524
2017	1	CT	Total Electric Power Industry	Coal (Short Tons)	25,717
2017	1	CT	Total Electric Power Industry	Natural Gas (Mcf)	10,456,982
2017	1	CT	Total Electric Power Industry	Petroleum (Barrels)	13,073
2017	1	CT	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	230,995
2017	1	CT	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	8
2017	1	CT	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	169,183
2017	1	CT	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	28
2017	1	CT	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	60,898
2017	1	CT	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2017	1	CT	Electric Generators, Independent Power Producers	Coal (Short Tons)	25,717
2017	1	CT	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	9,958,709
2017	1	CT	Electric Generators, Independent Power Producers	Petroleum (Barrels)	11,727
2017	1	CT	Electric Generators, Electric Utilities	Natural Gas (Mcf)	37,197
2017	1	CT	Electric Generators, Electric Utilities	Petroleum (Barrels)	1,310
2017	1	DC	Total Electric Power Industry	Natural Gas (Mcf)	78,130
2017	1	DC	Total Electric Power Industry	Petroleum (Barrels)	0
2017	1	DC	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	78,130
2017	1	DC	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	0
2017	1	DC	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	0
2017	1	DE	Total Electric Power Industry	Coal (Short Tons)	8,093
2017	1	DE	Total Electric Power Industry	Natural Gas (Mcf)	3,036,581
2017	1	DE	Total Electric Power Industry	Other Gases (Billion Btu)	141
2017	1	DE	Total Electric Power Industry	Petroleum (Barrels)	7,632
2017	1	DE	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	404,984
2017	1	DE	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	141
2017	1	DE	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	0
2017	1	DE	Combined Heat and Power, Electric Power	Coal (Short Tons)	0
2017	1	DE	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	17,035
2017	1	DE	Combined Heat and Power, Electric Power	Petroleum (Barrels)	397
2017	1	DE	Electric Generators, Independent Power Producers	Coal (Short Tons)	8,093
2017	1	DE	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	2,612,063
2017	1	DE	Electric Generators, Independent Power Producers	Petroleum (Barrels)	7,235
2017	1	DE	Electric Generators, Electric Utilities	Natural Gas (Mcf)	2,499
2017	1	DE	Electric Generators, Electric Utilities	Petroleum (Barrels)	0
2017	1	FL	Total Electric Power Industry	Coal (Short Tons)	1,428,914
2017	1	FL	Total Electric Power Industry	Natural Gas (Mcf)	77,181,253
2017	1	FL	Total Electric Power Industry	Other Gases (Billion Btu)	2
2017	1	FL	Total Electric Power Industry	Petroleum (Barrels)	253,435
2017	1	FL	Combined Heat and Power, Industrial Power	Coal (Short Tons)	2,315
2017	1	FL	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	640,338
2017	1	FL	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	2
2017	1	FL	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	1,346
2017	1	FL	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	14,477
2017	1	FL	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	0
2017	1	FL	Combined Heat and Power, Electric Power	Coal (Short Tons)	0
2017	1	FL	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,605,126
2017	1	FL	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2017	1	FL	Electric Generators, Independent Power Producers	Coal (Short Tons)	0
2017	1	FL	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	2,704,343
2017	1	FL	Electric Generators, Independent Power Producers	Petroleum (Barrels)	842
2017	1	FL	Electric Generators, Electric Utilities	Coal (Short Tons)	1,426,599
2017	1	FL	Electric Generators, Electric Utilities	Natural Gas (Mcf)	72,216,969
2017	1	FL	Electric Generators, Electric Utilities	Petroleum (Barrels)	251,247
2017	1	GA	Total Electric Power Industry	Coal (Short Tons)	1,308,145
2017	1	GA	Total Electric Power Industry	Natural Gas (Mcf)	28,720,451
2017	1	GA	Total Electric Power Industry	Petroleum (Barrels)	35,078
2017	1	GA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	2,826
2017	1	GA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	287,390
2017	1	GA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	12,442
2017	1	GA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	0
2017	1	GA	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	398
2017	1	GA	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,446
2017	1	GA	Combined Heat and Power, Electric Power	Petroleum (Barrels)	1,947
2017	1	GA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	5,450,846
2017	1	GA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	3,895
2017	1	GA	Electric Generators, Electric Utilities	Coal (Short Tons)	1,305,319
2017	1	GA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	22,980,769
2017	1	GA	Electric Generators, Electric Utilities	Petroleum (Barrels)	16,396
2017	1	HI	Total Electric Power Industry	Coal (Short Tons)	38,789
2017	1	HI	Total Electric Power Industry	Geothermal (Billion Btu)	203
2017	1	HI	Total Electric Power Industry	Other Gases (Billion Btu)	15
2017	1	HI	Total Electric Power Industry	Petroleum (Barrels)	952,753
2017	1	HI	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	15
2017	1	HI	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	18,291
2017	1	HI	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	616
2017	1	HI	Combined Heat and Power, Electric Power	Coal (Short Tons)	38,789
2017	1	HI	Combined Heat and Power, Electric Power	Petroleum (Barrels)	149,575
2017	1	HI	Electric Generators, Independent Power Producers	Geothermal (Billion Btu)	203
2017	1	HI	Electric Generators, Independent Power Producers	Petroleum (Barrels)	13,985
2017	1	HI	Electric Generators, Electric Utilities	Petroleum (Barrels)	770,286
2017	1	IA	Total Electric Power Industry	Coal (Short Tons)	1,621,651
2017	1	IA	Total Electric Power Industry	Natural Gas (Mcf)	1,722,733
2017	1	IA	Total Electric Power Industry	Petroleum (Barrels)	26,948
2017	1	IA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	41,062
2017	1	IA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	120,002
2017	1	IA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	4,799
2017	1	IA	Combined Heat and Power, Commercial Power	Coal (Short Tons)	2,430
2017	1	IA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	26,057
2017	1	IA	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	1,769
2017	1	IA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	0
2017	1	IA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	116
2017	1	IA	Electric Generators, Electric Utilities	Coal (Short Tons)	1,578,159
2017	1	IA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	1,576,674
2017	1	IA	Electric Generators, Electric Utilities	Petroleum (Barrels)	20,264
2017	1	ID	Total Electric Power Industry	Coal (Short Tons)	507
2017	1	ID	Total Electric Power Industry	Geothermal (Billion Btu)	55
2017	1	ID	Total Electric Power Industry	Natural Gas (Mcf)	1,830,844
2017	1	ID	Total Electric Power Industry	Petroleum (Barrels)	0
2017	1	ID	Combined Heat and Power, Industrial Power	Coal (Short Tons)	507
2017	1	ID	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	76,661
2017	1	ID	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	0
2017	1	ID	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	16,183
2017	1	ID	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	0
2017	1	ID	Electric Generators, Independent Power Producers	Geothermal (Billion Btu)	55
2017	1	ID	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	714,642
2017	1	ID	Electric Generators, Electric Utilities	Natural Gas (Mcf)	1,023,358
2017	1	ID	Electric Generators, Electric Utilities	Petroleum (Barrels)	0
2017	1	IL	Total Electric Power Industry	Coal (Short Tons)	3,428,909
2017	1	IL	Total Electric Power Industry	Natural Gas (Mcf)	7,644,921
2017	1	IL	Total Electric Power Industry	Other Gases (Billion Btu)	145
2017	1	IL	Total Electric Power Industry	Petroleum (Barrels)	10,975
2017	1	IL	Combined Heat and Power, Industrial Power	Coal (Short Tons)	47,859
2017	1	IL	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	397,249
2017	1	IL	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	145
2017	1	IL	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	0
2017	1	IL	Combined Heat and Power, Commercial Power	Coal (Short Tons)	1,314
2017	1	IL	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	160,818
2017	1	IL	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	84
2017	1	IL	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	350,489
2017	1	IL	Combined Heat and Power, Electric Power	Other Gases (Billion Btu)	0
2017	1	IL	Electric Generators, Independent Power Producers	Coal (Short Tons)	3,191,484
2017	1	IL	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	6,062,066
2017	1	IL	Electric Generators, Independent Power Producers	Petroleum (Barrels)	9,275
2017	1	IL	Electric Generators, Electric Utilities	Coal (Short Tons)	188,252
2017	1	IL	Electric Generators, Electric Utilities	Natural Gas (Mcf)	674,299
2017	1	IL	Electric Generators, Electric Utilities	Petroleum (Barrels)	1,616
2017	1	IN	Total Electric Power Industry	Coal (Short Tons)	3,571,972
2017	1	IN	Total Electric Power Industry	Natural Gas (Mcf)	11,202,681
2017	1	IN	Total Electric Power Industry	Other Gases (Billion Btu)	1,160
2017	1	IN	Total Electric Power Industry	Petroleum (Barrels)	16,643
2017	1	IN	Combined Heat and Power, Industrial Power	Coal (Short Tons)	0
2017	1	IN	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	986,212
2017	1	IN	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	1,151
2017	1	IN	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	1,160
2017	1	IN	Combined Heat and Power, Commercial Power	Coal (Short Tons)	443
2017	1	IN	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	78,593
2017	1	IN	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	21
2017	1	IN	Combined Heat and Power, Electric Power	Coal (Short Tons)	147,645
2017	1	IN	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,635,427
